"Time (s)","x","y","z","total_acceleration"
4.262681310E-1,2.633252144E0,2.084887743E0,4.508466721E0,5.622014401E0
4.312695890E-1,2.183880806E0,2.258118629E0,4.178549290E0,5.227686801E0
4.362710470E-1,2.029747486E0,1.804114580E0,4.122582912E0,4.936637939E0
4.412725060E-1,2.035317421E0,1.217414141E0,4.312836647E0,4.921907571E0
4.462739640E-1,2.093023300E0,8.413556814E-1,4.797771931E0,5.301626299E0
4.512552140E-1,1.916171551E0,6.093255877E-1,5.129215717E0,5.509250853E0
4.562566720E-1,1.656330109E0,4.441437721E-1,5.354480267E0,5.622379571E0
4.612581310E-1,1.523549080E0,1.860581636E-1,5.412124634E0,5.625558860E0
4.662595890E-1,1.528945446E0,-8.193954825E-2,5.229531288E0,5.449072009E0
4.712610470E-1,1.555561543E0,-2.966955900E-1,5.044898987E0,5.287608701E0
4.762625060E-1,1.474690437E0,-5.302472115E-1,4.895342827E0,5.140063753E0
4.812643810E-1,1.280940056E0,-8.631103635E-1,4.382442474E0,4.646672892E0
4.862658390E-1,1.293082237E0,-1.216152549E0,3.861626625E0,4.250088103E0
4.912672450E-1,1.328308582E0,-1.428747416E0,3.517643929E0,4.022380101E0
4.962687560E-1,1.228206635E0,-1.508143544E0,3.207064629E0,3.750766857E0
5.012702140E-1,1.683362961E0,-1.383537531E0,3.238529205E0,3.903326578E0
5.062716720E-1,2.808369637E0,-7.705486417E-1,3.590487480E0,4.623016934E0
5.112682870E-1,3.580041885E0,2.467921525E-1,4.086318016E0,5.438345447E0
5.162697450E-1,3.511386871E0,1.153108120E0,4.430944443E0,5.769988280E0
5.212712040E-1,3.083590508E0,1.696698904E0,4.495359421E0,5.709253358E0
5.262726620E-1,2.825253487E0,1.914238334E0,4.648156166E0,5.766430560E0
5.312741200E-1,2.334578991E0,1.831245184E0,4.834715843E0,5.672582769E0
5.362755790E-1,1.488586426E0,1.425483227E0,5.183605194E0,5.578320068E0
5.412653700E-1,5.918583870E-1,7.109126449E-1,5.703696251E0,5.778221531E0
5.462668290E-1,6.311321259E-2,-1.873080991E-2,6.284759521E0,6.285104324E0
5.512682870E-1,-2.084579468E-1,-5.590546131E-1,6.871858597E0,6.897712472E0
5.562697450E-1,-4.710741043E-1,-1.045075297E0,7.361548424E0,7.450267672E0
5.612712040E-1,-7.917544842E-1,-1.355366588E0,7.572914124E0,7.733881436E0
5.662726620E-1,-1.008039474E0,-1.527040839E0,7.499399185E0,7.719390225E0
5.712657350E-1,-1.219798565E0,-1.863111496E0,6.989441872E0,7.335624763E0
5.762671930E-1,-1.557493687E0,-2.016069412E0,5.875194550E0,6.403767130E0
5.812686520E-1,-1.722474813E0,-2.067133427E0,4.457188606E0,5.206389378E0
5.862701100E-1,-1.921280384E0,-1.989082098E0,2.942532539E0,4.038101491E0
5.912715680E-1,-1.918492317E0,-1.751233220E0,1.404095650E0,2.952780919E0
5.962730270E-1,-1.561103106E0,-1.366484642E0,4.037008286E-1,2.113598245E0
6.012658390E-1,-1.205154657E0,-7.345812917E-1,-3.804044724E-1,1.461750658E0
6.062672970E-1,-1.179558277E0,-1.044917107E-2,-1.004677773E0,1.549465824E0
6.112687560E-1,-1.381074429E0,4.988600314E-1,-1.739398479E0,2.276342456E0
6.162702140E-1,-1.593035936E0,6.894049644E-1,-2.477370262E0,3.024963820E0
6.212716720E-1,-1.710970163E0,6.740460396E-1,-3.078644276E0,3.586057381E0
6.262731310E-1,-1.926409483E0,4.867329895E-1,-3.480158329E0,4.007426168E0
6.312679220E-1,-2.224989891E0,1.275185049E-1,-3.735734940E0,4.350006497E0
6.362693810E-1,-2.508994102E0,-2.892830372E-1,-3.965308666E0,4.701319910E0
6.412708910E-1,-2.665258884E0,-6.227172017E-1,-4.178450108E0,4.995080273E0
