"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.187675834E-1,1.707939240E0,3.561164832E-1,1.057813352E0,2.040304998E0
6.287805834E-1,1.194195856E0,3.869991374E-1,1.299428489E0,1.806761321E0
6.387945834E-1,9.377080339E-1,2.609331679E-1,1.890861488E0,2.126673374E0
6.488085834E-1,9.047835320E-1,1.722309065E-1,2.174637973E0,2.361640752E0
6.588225834E-1,1.364708851E0,1.775676602E-1,2.177524159E0,2.575960400E0
6.688365834E-1,2.076003339E0,3.805537516E-1,1.896590005E0,2.837545536E0
6.788495834E-1,2.577952889E0,5.550984013E-1,1.568215052E0,3.068105895E0
6.888635834E-1,2.830705802E0,6.996497583E-1,1.044312131E0,3.097255713E0
6.988775834E-1,2.876381912E0,8.182283682E-1,2.960860437E-1,3.005118552E0
7.088915834E-1,2.820046328E0,8.906356090E-1,-2.813177311E-1,2.970695667E0
7.189055834E-1,2.611611216E0,1.080449093E0,-4.349159002E-1,2.859551578E0
7.289195834E-1,2.397368942E0,1.339658502E0,-3.086072713E-1,2.763566753E0
7.389325834E-1,2.254471763E0,1.380125912E0,1.559218526E-2,2.643413244E0
7.489465834E-1,2.016191001E0,1.275288259E0,4.962590396E-1,2.436731280E0
7.589605834E-1,1.961060820E0,1.126754948E0,8.828026789E-1,2.427895554E0
7.689745834E-1,2.137982655E0,1.008588567E0,1.063920768E0,2.592324851E0
7.789885834E-1,2.390441161E0,9.948388392E-1,1.109177048E0,2.816768891E0
7.890015834E-1,2.517097700E0,1.250166281E0,1.302228135E0,3.097498132E0
7.990155834E-1,2.610661629E0,1.551489092E0,1.335597026E0,3.317603345E0
8.090295834E-1,2.730454413E0,1.531691589E0,1.631362057E0,3.530269478E0
8.190435834E-1,2.487605806E0,1.168402911E0,2.401812826E0,3.649938747E0
8.290575834E-1,1.929375636E0,6.705294549E-1,3.183402834E0,3.782347643E0
8.390715834E-1,1.539167839E0,3.108642966E-1,3.786794266E0,4.099449361E0
8.490845833E-1,1.580564371E0,-3.824079037E-4,4.192588693E0,4.480623152E0
8.590985833E-1,1.864189999E0,-4.148394853E-1,4.295261123E0,4.700698274E0
8.691125833E-1,2.150242805E0,-8.581806386E-1,3.937883103E0,4.568034748E0
8.791265833E-1,2.680622979E0,-1.124164047E0,3.251396596E0,4.361314502E0
8.891405833E-1,3.247207358E0,-1.331091746E0,2.350302365E0,4.223752132E0
8.991535833E-1,3.407639461E0,-1.603845060E0,1.845343545E0,4.193997911E0
9.091675833E-1,3.071769254E0,-2.013158342E0,1.440720315E0,3.945154989E0
9.191815833E-1,2.375508542E0,-2.400948608E0,1.311895337E0,3.623349890E0
9.291955833E-1,1.630062514E0,-2.810095244E0,1.290121329E0,3.495447342E0
9.392095833E-1,9.466083732E-1,-3.037284130E0,1.684395426E0,3.599770861E0
9.492225833E-1,6.918238449E-1,-3.239179716E0,1.356192820E0,3.579129004E0
9.592365833E-1,3.286474335E-1,-3.755773033E0,1.417912374E0,4.027941870E0
9.692505833E-1,6.376096308E-3,-3.958080847E0,1.388056490E0,4.194418371E0
9.792645833E-1,-6.320106295E-1,-3.929511352E0,1.155827304E0,4.144446122E0
9.892785833E-1,-2.911813992E0,-3.113592049E0,9.748178266E-2,4.264108215E0
9.992915833E-1,-4.962177583E0,-3.214928974E0,-9.572236278E-1,5.989595291E0
1.009305583E0,-5.964610201E0,-3.787956108E0,-3.139098773E0,7.731696284E0
1.019319583E0,-7.443427173E0,-3.198766100E0,-3.950323931E0,9.013421759E0
1.029333583E0,-6.178523569E0,-3.416456770E0,-5.669901177E0,9.055059895E0
1.039347583E0,-4.683311005E0,-3.563787893E0,-6.389303999E0,8.686609909E0
1.049361583E0,-4.149915421E0,-3.427281720E0,-6.079148970E0,8.119366366E0
1.059374583E0,-3.351992094E0,-3.549586176E0,-4.217428250E0,6.451520291E0
1.069388583E0,-2.805758072E0,-2.841194245E0,-2.200756316E0,4.559384987E0
1.079402583E0,-2.454825145E0,-2.221336176E0,1.931920052E-2,3.310721090E0
1.089416583E0,-1.247461652E0,-2.023170530E0,2.238857943E0,3.265251055E0
1.099430583E0,1.061421376E0,-2.434623892E0,3.274875798E0,4.216493843E0
1.109443583E0,3.757093334E0,-4.041035296E0,3.313929352E0,6.436446561E0
1.119457583E0,4.069981937E0,-4.872946733E0,3.889395944E0,7.445654010E0
1.129471583E0,3.124252108E0,-4.189169827E0,4.413644435E0,6.840347379E0
1.139485583E0,2.237266915E0,-4.165102687E0,3.625826851E0,5.958193014E0
1.149499583E0,1.698605914E0,-4.465882291E0,2.184996901E0,5.253910747E0
1.159512583E0,1.724616669E0,-3.959315194E0,7.837760619E-1,4.389166707E0
1.169526583E0,1.713875333E0,-3.343010479E0,-6.223167499E-1,3.807934592E0
1.179540583E0,1.889282155E0,-2.820769921E0,-1.108241494E0,3.571320374E0
1.189554583E0,1.246330508E0,-2.215293079E0,-2.059043198E0,3.271165244E0
1.199568583E0,3.345323637E-1,-2.109179564E0,-2.777361946E0,3.503468241E0
1.209582583E0,1.734719780E-1,-1.897712671E0,-3.326665757E0,3.833811545E0
1.219595583E0,2.720487249E-1,-1.241946850E0,-3.952626565E0,4.152071681E0
1.229609583E0,7.336209118E-2,-7.099408579E-1,-4.723267368E0,4.776887339E0
1.239623583E0,-1.549617398E-1,-5.022670537E-1,-4.992377282E0,5.019971739E0
1.249637583E0,-3.904276523E-1,-3.217570746E-1,-4.886418718E0,4.912540000E0
1.259651583E0,-1.156918687E0,-1.776559532E-2,-4.752860126E0,4.891672091E0
1.269664583E0,-1.700952694E0,3.786908287E-1,-4.318587420E0,4.656913583E0
1.279678583E0,-2.428042559E0,9.012003583E-1,-4.098279537E0,4.848035470E0
1.289692583E0,-3.391308772E0,1.533748639E0,-3.949356802E0,5.426857214E0
1.299706583E0,-3.780200361E0,2.214067503E0,-3.620712876E0,5.683447141E0
1.309720583E0,-2.801756530E0,2.214984346E0,-3.595261116E0,5.067731031E0
1.319733583E0,-1.254209631E0,2.322146267E0,-2.817855084E0,3.860791675E0
1.329747583E0,-9.409356970E-1,2.730267302E0,-2.064433161E0,3.549873773E0
1.339761583E0,-1.487589111E0,2.214953356E0,-1.994685234E0,3.331322397E0
1.349775583E0,-1.024445485E0,1.759786794E0,-2.154431019E0,2.964441115E0
1.359789583E0,1.559087694E0,1.397797952E0,-9.211877494E-1,2.287614570E0
