"Time (s)","x","y","z","total_acceleration"
7.014042914E-1,-1.213286065E0,-6.571805540E-1,-3.154164709E0,3.442775678E0
7.114152915E-1,-1.663355682E0,-1.220614161E0,-1.191104726E0,2.382305926E0
7.214262916E-1,-1.416298103E0,-5.677567461E-1,1.164637304E0,1.919538510E0
7.314372915E-1,-5.807765950E-1,-3.715057701E-2,2.220666670E0,2.295657222E0
7.414482916E-1,9.842413455E-2,3.975480992E-1,1.075646190E0,1.150976337E0
7.514592914E-1,5.476676135E-1,4.936041114E-1,1.770712316E-2,7.374946616E-1
7.614702915E-1,7.662974918E-1,5.592443696E-1,-1.954952234E-1,9.685992428E-1
7.714812916E-1,5.778642431E-1,6.497624838E-1,-2.646274388E-2,8.699532434E-1
7.814922915E-1,4.893606408E-1,6.736135688E-1,1.306975490E-1,8.427994579E-1
7.915042916E-1,3.246254262E-1,3.733412111E-1,-9.763563752E-2,5.042797289E-1
8.015152914E-1,2.480096519E-1,3.875066757E-2,-3.671414083E-1,4.447507340E-1
8.115262915E-1,1.496682554E-1,-4.244493842E-2,-6.841417730E-1,7.016068166E-1
8.215372916E-1,6.988153607E-2,-3.794433653E-2,-9.393873543E-1,9.427469454E-1
8.315482915E-1,1.651645464E-1,-8.699341267E-2,-8.198983330E-1,8.408807630E-1
8.415592916E-1,3.799161127E-1,-1.378779298E-1,-3.022782451E-1,5.046966551E-1
8.515702914E-1,8.016474187E-1,-5.279626429E-2,2.500631940E-1,8.414021812E-1
8.615812915E-1,1.042612345E0,2.052460402E-1,6.375511587E-1,1.239208586E0
8.715922916E-1,1.045302064E0,5.223946318E-1,7.319854456E-1,1.378896388E0
8.816032915E-1,1.381819265E0,5.396962506E-1,3.678103298E-1,1.528391627E0
8.916152916E-1,1.573157703E0,5.506708896E-1,-8.362220049E-2,1.668848783E0
9.016262915E-1,1.643038655E0,5.960046449E-1,-2.674791259E-1,1.768146668E0
9.116372915E-1,1.566341604E0,5.700240040E-1,-4.014721656E-1,1.714506718E0
9.216482916E-1,1.515470828E0,5.630973923E-1,-3.878820670E-1,1.662583231E0
9.316592915E-1,1.394965560E0,5.113781852E-1,-1.987608933E-1,1.498980472E0
9.416702916E-1,1.083972625E0,3.581270483E-1,1.022216088E-1,1.146167916E0
9.516812915E-1,8.744399911E-1,1.527310270E-1,6.192827028E-1,1.082350743E0
9.616922915E-1,8.833520249E-1,7.394330442E-2,9.973443711E-1,1.334344111E0
9.717032916E-1,1.064873280E0,1.192355445E-1,1.228182505E0,1.629909348E0
9.817152915E-1,1.234237881E0,2.936500937E-1,1.404774265E0,1.892871961E0
9.917262916E-1,1.189884412E0,1.679250169E-1,1.522824286E0,1.939849873E0
1.001737291E0,9.039997128E-1,1.330095381E-1,1.470235598E0,1.731040072E0
1.011748292E0,3.834981170E-1,1.753808016E-1,1.268151147E0,1.336426790E0
1.021759292E0,-1.492963725E-1,1.390245688E-1,1.056698288E0,1.076210253E0
1.031770292E0,-5.466301712E-1,8.983252823E-2,1.016943069E0,1.158036110E0
1.041781292E0,-8.934259003E-1,-1.597225428E-2,1.244849993E0,1.532356505E0
1.051792291E0,-1.238850457E0,-1.794446164E-1,1.498549570E0,1.952588446E0
1.061803292E0,-1.601287196E0,-2.851728004E-1,1.745258217E0,2.385659333E0
1.071815292E0,-1.725035622E0,-3.262202543E-1,2.077648453E0,2.720071809E0
1.081826292E0,-1.760898934E0,-4.430254036E-1,2.011412364E0,2.709763137E0
1.091837292E0,-2.199505597E0,-6.034946358E-1,1.265627489E0,2.608417832E0
1.101848291E0,-2.567477017E0,-7.770540297E-1,7.702613193E-1,2.790887619E0
1.111859292E0,-2.268726105E0,-6.592893523E-1,1.170762847E0,2.636752972E0
1.121870292E0,-1.869569437E0,-3.998711979E-1,1.789207644E0,2.618482547E0
1.131881292E0,-1.539178071E0,-2.887091964E-1,1.926786781E0,2.482927594E0
1.141892292E0,-1.344112618E0,-2.456532240E-1,1.937070279E0,2.370490562E0
1.151903291E0,-1.189069895E0,-1.524041677E-1,2.191107241E0,2.497611897E0
1.161915292E0,-1.080095921E0,-2.991517389E-1,2.474528800E0,2.716503588E0
1.171926292E0,-1.272893824E0,-6.266022474E-1,2.632770828E0,2.990714178E0
1.181937292E0,-1.531899750E0,-1.093388397E0,2.822591329E0,3.392526616E0
1.191948292E0,-1.616230633E0,-1.393400846E0,3.279480481E0,3.912641000E0
1.201959291E0,-1.831536223E0,-1.804941916E0,3.770999182E0,4.564293493E0
1.211970292E0,-1.538729005E0,-2.261893634E0,4.173350769E0,4.990060762E0
1.221981292E0,-1.570555400E0,-2.841436320E0,4.315817594E0,5.400619051E0
1.231992292E0,-1.857771510E0,-3.325389894E0,4.028657910E0,5.544332014E0
1.242003292E0,-1.435733517E0,-3.350109583E0,3.926298891E0,5.357274301E0
1.252014291E0,-1.399953528E0,-3.319183075E0,4.117952494E0,5.471231937E0
1.262026292E0,-1.095049590E0,-3.371021565E0,4.160754697E0,5.465784450E0
1.272037292E0,-4.604170695E-1,-3.465586245E0,3.780996459E0,5.149583102E0
1.282048292E0,2.739040464E-1,-3.210129579E0,2.863016639E0,4.310083481E0
1.292059292E0,6.106542590E-1,-2.294004788E0,2.277653926E0,3.289842549E0
1.302070291E0,1.126890896E0,-1.979187189E0,1.604175136E0,2.785757148E0
1.312081292E0,1.965743563E0,-1.817980038E0,8.891243961E-1,2.821301360E0
1.322092292E0,2.020162430E0,-1.513316714E0,7.516513860E-1,2.633659720E0
1.332103292E0,1.934813254E0,-1.598576134E0,6.557944715E-1,2.594034382E0
1.342114292E0,2.361231396E0,-2.113715833E0,7.601023668E-1,3.258982040E0
1.352126291E0,2.720043445E0,-2.751560522E0,1.500699592E0,4.149918182E0
1.362137292E0,3.007854802E0,-3.072663878E0,2.254859433E0,4.855187420E0
1.372148291E0,3.143040966E0,-2.974062281E0,2.611609755E0,5.054132811E0
1.382159292E0,2.610589415E0,-2.900073953E0,2.221822811E0,4.490223004E0
1.392170292E0,2.128470697E0,-2.951653996E0,1.714215349E0,4.022584130E0
1.402181291E0,1.547344877E0,-3.212161487E0,1.918876083E0,4.048992839E0
1.412192292E0,9.266831088E-1,-3.574197106E0,3.246244322E0,4.916475235E0
1.422203291E0,4.810252887E-1,-4.167005956E0,3.040242237E0,5.180578811E0
1.432214292E0,2.486642477E-1,-4.242152617E0,-4.728386021E0,6.357305018E0
1.442226292E0,-8.357858026E-1,-5.063735533E-1,-3.110084889E1,3.111619761E1
1.452237291E0,1.690830579E-1,2.322965462E0,-2.407467318E1,2.418707602E1
1.462248292E0,1.661452999E0,1.634102647E0,-1.278280630E1,1.299349277E1
1.472259291E0,3.668222381E0,-2.273444223E-1,-7.326882225E0,8.196996038E0
1.482270292E0,4.669124198E0,-1.400027495E0,-4.276374031E0,6.484456231E0
1.492281292E0,4.994398665E0,-1.577641933E0,-3.627082833E0,6.370926304E0
1.502292291E0,3.962632612E0,-1.594494193E0,-2.547599115E0,4.973442490E0
1.512303666E0,2.119775888E0,-1.939768769E0,-1.377413973E0,3.186443463E0
1.522314667E0,1.431769398E0,-1.717200353E0,-2.974338269E-1,2.255483882E0
1.532326667E0,1.800668479E0,-1.065943320E0,6.005739516E-1,2.177000506E0
1.542337666E0,2.310039607E0,-3.560515791E-1,8.879814848E-1,2.500313347E0
1.552348667E0,2.025261202E0,4.070907551E-1,9.085415375E-1,2.256735151E0
1.562359666E0,2.186481216E0,7.313668102E-1,1.120278572E0,2.563322375E0
1.572370667E0,2.224353924E0,8.627017057E-1,1.431717650E0,2.782412630E0
1.582381667E0,1.654388685E0,5.639885080E-1,1.197908473E0,2.118978449E0
1.592392666E0,1.224725339E0,8.617041707E-2,4.880500605E-1,1.321200347E0
1.602403667E0,8.369827276E-1,-5.545347297E-1,-3.328411297E-1,1.057748586E0
1.612414666E0,3.074476223E-1,-9.326642257E-1,-1.127594023E0,1.495277526E0
1.622426667E0,-3.395448893E-1,-8.569550622E-1,-1.107109546E0,1.440608988E0
1.632437667E0,-8.141092971E-1,-7.156787306E-1,-7.036147553E-1,1.292301713E0
1.642448667E0,-6.736366653E-1,-6.844937754E-1,-7.579856747E-1,1.223462451E0
1.652459667E0,-2.565001014E-1,-7.951482385E-1,-6.795563865E-1,1.076963280E0
1.662470666E0,-1.411305897E-1,-8.545302218E-1,-4.053214607E-1,9.562558391E-1
1.672481667E0,-1.881549212E-1,-6.470072758E-1,-3.118724296E-1,7.424857586E-1
1.682492667E0,-4.743037681E-1,-6.169391388E-1,-5.947876201E-1,9.794642813E-1
1.692503667E0,-6.286484805E-1,-3.842491919E-1,-9.443487167E-1,1.197764940E0
1.702514667E0,-6.228688002E-1,-1.638606173E-1,-8.004136562E-1,1.027364524E0
1.712526666E0,-7.444188188E-1,-1.459020638E-1,-6.304732503E-1,9.863788873E-1
1.722537667E0,-1.316192894E0,-2.020639855E-1,-4.590878512E-1,1.408529462E0
1.732548667E0,-2.270501612E0,-3.698188484E-2,3.622760864E-1,2.299519340E0
1.742559667E0,-3.610878444E0,-1.923090756E-1,1.671442528E0,3.983609675E0
1.752570667E0,-3.275017886E0,1.029209358E-1,3.656423576E0,4.909762544E0
1.762581666E0,-2.172117677E0,-1.647546566E-1,2.476618010E0,3.298314125E0
1.772592667E0,-1.648261534E0,-7.481103122E-1,1.589768766E-1,1.817060475E0
1.782603667E0,-1.516470556E0,-8.907730186E-1,-1.066311695E0,2.056740175E0
1.792614667E0,-1.862393295E0,-1.040205047E0,-1.205036740E0,2.450030382E0
1.802626667E0,-1.485873684E0,-3.689283174E-1,-1.607880516E-1,1.539409467E0
1.812637666E0,-1.027594357E0,-1.190253371E-1,-1.605702867E0,1.910078242E0
1.822648667E0,-6.315526463E-1,-4.458110172E-1,-2.289572160E0,2.416556824E0
1.832659667E0,-6.284413429E-1,-7.635510546E-1,-1.905554956E0,2.146878764E0
1.842670667E0,-7.044851133E-1,-7.953955758E-1,-1.235380573E0,1.629453454E0
1.852681667E0,-8.962176535E-1,-7.115008950E-1,-8.953959735E-1,1.452987803E0
1.862692666E0,-1.049624619E0,-7.208973706E-1,-5.020010785E-1,1.368725663E0
1.872703667E0,-3.526827058E-1,-1.526684618E-1,2.446179745E0,2.476184180E0
1.882714667E0,3.973586494E-1,1.052323986E0,3.881136167E0,4.040853575E0
1.892726667E0,8.010890096E-1,9.392639780E-1,8.422293612E-1,1.494426552E0
1.902737667E0,1.400882943E0,4.049810797E-1,-8.961882712E-1,1.711617981E0
1.912748666E0,1.461089091E0,2.020593077E-1,-1.845010546E0,2.362133191E0
1.922759667E0,2.056209637E0,4.336534864E-1,-1.702449582E0,2.704512525E0
1.932770667E0,2.820517321E0,6.706972700E-1,-7.054067807E-1,2.983747897E0
1.942781667E0,3.227092352E0,7.369380373E-1,3.261569582E-2,3.310327250E0
1.952792667E0,3.656051401E0,9.216276062E-1,4.004382317E-1,3.791630265E0
1.962803666E0,3.884932179E0,1.188810278E0,5.003887819E-1,4.093452925E0
1.972814667E0,3.570344668E0,1.317534977E0,6.759492391E-1,3.865251200E0
1.982826666E0,2.370553027E0,9.404918933E-1,7.459800985E-1,2.657166341E0
1.992837667E0,1.672703919E0,5.770447558E-1,6.419371551E-1,1.882286471E0
2.002848667E0,1.162842793E0,3.200455946E-1,2.323350209E-1,1.228255717E0
2.012859666E0,5.452756637E-1,1.517878711E-2,-3.880621612E-2,5.468654930E-1
2.022870667E0,-1.607955068E-2,-1.948526144E-1,-3.403740245E-1,3.925309795E-1
2.032881666E0,-5.239865363E-1,-2.543527114E-1,-6.825040410E-1,8.972563502E-1
2.042892667E0,-8.064283946E-1,-1.854029292E-1,-7.643525617E-1,1.126470524E0
2.052903667E0,-9.847635019E-1,-1.680653501E-1,-7.032573442E-1,1.221710280E0
2.062914666E0,-1.117249422E0,-2.531388295E-1,-6.769572991E-1,1.330637713E0
2.072926667E0,-1.067686375E0,-3.449559027E-1,-7.217773765E-1,1.334133184E0
2.082937666E0,-8.200693640E-1,-3.882662290E-1,-6.467097987E-1,1.114225287E0
2.092948667E0,-4.011894527E-1,-4.515962523E-1,-3.436677611E-1,6.949817854E-1
