"Time (s)","x","y","z","total_acceleration"
4.111466170E-1,2.159751654E0,1.596221924E-1,-2.331615448E0,3.182206318E0
4.161445860E-1,2.578342199E0,5.008029938E-2,-2.200313330E0,3.389946206E0
4.211425550E-1,2.630115032E0,-6.534576416E-2,-1.845423937E0,3.213621735E0
4.261405240E-1,1.938910723E0,-4.091472626E-1,-1.563178301E0,2.523945854E0
4.311384400E-1,1.405865669E0,-1.299307346E0,-1.355037212E0,2.345374961E0
4.361303670E-1,1.195528984E0,-2.454555511E0,-7.960615158E-1,2.843913896E0
4.411283360E-1,1.338477135E0,-2.008031845E0,-2.060747147E-1,2.422019760E0
4.461262530E-1,1.128293514E0,-1.665164948E0,2.034187317E-2,2.011525379E0
4.511242210E-1,9.932522774E-1,-1.327100277E0,1.006644964E-1,1.660686175E0
4.561221900E-1,7.399044037E-1,-1.479215622E0,6.506705284E-2,1.655225394E0
4.611201070E-1,3.941030502E-1,-2.010856628E0,2.158284187E-3,2.049113528E0
4.661465130E-1,2.420282364E-2,-2.476603031E0,-8.171033859E-2,2.478068790E0
4.711444300E-1,6.745729446E-1,-1.954556942E0,-6.509221792E-1,2.167727192E0
4.761424510E-1,2.016288996E0,-1.423892021E0,-9.537711143E-1,2.646236789E0
4.811403670E-1,5.743675232E-1,-1.446443558E0,-1.147071958E0,1.933357467E0
4.861382840E-1,-4.984240532E-1,-1.471433163E0,-1.067041993E0,1.884707061E0
4.911362530E-1,8.606591225E-1,-1.236410141E0,-4.088588953E-1,1.560964368E0
4.961405760E-1,3.192130566E0,-1.169085503E0,3.371845245E0,4.788089266E0
5.011384920E-1,4.665800095E0,-1.178006172E0,6.434972763E0,8.035313530E0
5.061364610E-1,3.021631479E0,-9.180450439E-1,6.974822044E0,7.656448658E0
5.111344300E-1,4.989352226E-1,-4.479427338E-1,5.166462421E0,5.209791071E0
5.161323990E-1,6.803722382E-1,-5.881013870E-1,3.124202251E0,3.251062800E0
5.211303150E-1,2.294984579E0,-1.356933594E0,2.083932400E0,3.383932216E0
5.261093260E-1,3.545807362E0,-2.162940979E0,2.079286098E0,4.644835218E0
5.311072420E-1,3.434879303E0,-2.542375088E0,2.746517420E0,5.079904020E0
5.361052110E-1,1.983021736E0,-2.526171684E0,3.333367586E0,4.628742599E0
5.411031800E-1,5.900144577E-2,-2.312156677E0,3.360077620E0,4.079175319E0
5.461011490E-1,-1.192855835E0,-2.378404617E0,2.470431566E0,3.630805102E0
5.510990650E-1,-1.367944717E0,-2.625584126E0,9.126602411E-1,3.098049946E0
5.561235440E-1,-1.114874363E0,-2.842976093E0,-8.743368983E-1,3.176463903E0
5.611214610E-1,-7.431530952E-1,-2.838128567E0,-2.301905632E0,3.729077610E0
5.661194300E-1,-4.695906639E-1,-2.437265396E0,-3.224476337E0,4.069155398E0
5.711173990E-1,-3.451189995E-1,-1.705592632E0,-3.967595339E0,4.332431895E0
5.761153670E-1,-2.656819820E-1,-1.020966053E0,-4.326092243E0,4.452867918E0
5.811132840E-1,-2.558372021E-1,-6.009979248E-1,-4.365283966E0,4.413882110E0
5.861168260E-1,-3.715324402E-1,-4.670619965E-1,-4.273828030E0,4.315297126E0
5.911147940E-1,-6.236526966E-1,-4.625225067E-1,-3.945603371E0,4.021275384E0
5.961127110E-1,-8.787212372E-1,-5.034751892E-1,-3.858201742E0,3.988904481E0
6.011106800E-1,-7.855801582E-1,-5.422515869E-1,-4.061518669E0,4.172182507E0
6.061086490E-1,-6.267464161E-1,-6.333494186E-1,-3.945823669E0,4.045178239E0
6.111065650E-1,-6.379845142E-1,-7.266082764E-1,-3.397484303E0,3.532404764E0
6.161371900E-1,-6.689324379E-1,-6.679000854E-1,-2.803779364E0,2.958840964E0
6.211351070E-1,-5.950169563E-1,-5.601797104E-1,-2.292279243E0,2.433596231E0
6.261330760E-1,-4.092485905E-1,-4.010181427E-1,-1.713577867E0,1.806833989E0
6.311310440E-1,-2.799077034E-1,-2.423610687E-1,-1.166124344E0,1.223492213E0
6.361289610E-1,-2.057731152E-1,-8.850574493E-2,-7.408829927E-1,7.740048131E-1
6.411269300E-1,-1.432938576E-1,5.134391785E-2,-5.138645172E-1,5.359347624E-1
6.461312530E-1,-7.567191124E-2,1.940174103E-1,-3.543787003E-1,4.110392400E-1
6.511291690E-1,-1.309003830E-1,3.586111069E-1,-1.714838743E-1,4.185015596E-1
6.561271380E-1,-3.508052826E-1,5.259246826E-1,-5.057376623E-2,6.342072405E-1
6.611251070E-1,-5.520491600E-1,6.100788116E-1,1.543256640E-1,8.371205660E-1
6.661230760E-1,-6.311049461E-1,7.325935364E-1,1.883563995E-1,9.851217569E-1
6.711209920E-1,-4.984314442E-1,8.765745163E-1,1.928927302E-1,1.026656901E0
6.761152630E-1,-3.568897247E-1,1.006454468E0,5.377364159E-2,1.069211147E0
6.811131800E-1,-3.342742920E-1,1.131999016E0,-1.428796649E-1,1.188938885E0
6.861111490E-1,-3.628005981E-1,1.296045303E0,-2.690613866E-1,1.372498354E0
6.911091170E-1,-4.470858574E-1,1.405465126E0,-2.614442110E-1,1.497855487E0
6.961070860E-1,-5.423645973E-1,1.358139992E0,-3.874404430E-1,1.512882577E0
7.011050030E-1,-6.397752762E-1,1.223953247E0,-6.672234535E-1,1.533806080E0
7.061320860E-1,-7.311711311E-1,1.095736504E0,-1.138092995E0,1.740834677E0
7.111300030E-1,-7.514712811E-1,1.015748024E0,-1.591599703E0,2.032152245E0
7.161279710E-1,-7.476139069E-1,1.011750221E0,-1.973005056E0,2.339938892E0
7.211259400E-1,-6.179151535E-1,1.064045906E0,-2.320770741E0,2.626783139E0
7.261238570E-1,-4.222035408E-1,1.327041626E0,-2.542023182E0,2.898478422E0
7.311218260E-1,-2.957236767E-1,1.647456169E0,-2.717335701E0,3.191469510E0
7.361428150E-1,-2.065837383E-1,1.996700287E0,-2.828995943E0,3.468819240E0
7.411407320E-1,-1.514923573E-1,2.332183838E0,-2.861826181E0,3.694872187E0
7.461387010E-1,-2.415032387E-1,2.661487579E0,-2.950920105E0,3.981176888E0
7.511366690E-1,-5.370185375E-1,2.982482910E0,-3.086443901E0,4.325474445E0
7.561346380E-1,-8.979058266E-1,3.438129425E0,-3.250279665E0,4.815733248E0
7.611325550E-1,-1.291401625E0,3.935088158E0,-3.372276068E0,5.340869109E0
7.661285960E-1,-1.692248583E0,4.373458862E0,-3.320858955E0,5.746211960E0
7.711265130E-1,-2.159599066E0,4.658443451E0,-3.205576658E0,6.053154981E0
7.761244820E-1,-2.452682734E0,4.757670403E0,-3.008763790E0,6.140337108E0
7.811224510E-1,-2.668444633E0,4.683914185E0,-2.753624916E0,6.053271762E0
7.861203670E-1,-2.905972958E0,4.352171898E0,-2.481910706E0,5.791887413E0
7.911183360E-1,-3.061579466E0,3.946852684E0,-2.287163734E0,5.493817697E0
7.961226590E-1,-3.132141352E0,3.544019699E0,-2.131748676E0,5.187941547E0
8.011205760E-1,-3.235903740E0,3.097885132E0,-1.882925749E0,4.859359493E0
8.061185440E-1,-3.130226374E0,2.760806084E0,-1.598823547E0,4.469519450E0
8.111165130E-1,-2.849475384E0,2.651155472E0,-1.224809170E0,4.080231954E0
8.161144820E-1,-2.409436941E0,2.527078629E0,-8.271527290E-1,3.588271785E0
8.211123990E-1,-1.791439295E0,2.424699783E0,-4.314192533E-1,3.045413988E0
8.260600030E-1,-1.262390614E0,2.356217384E0,-1.341787577E-1,2.676451823E0
8.310579710E-1,-8.615822792E-1,2.228880882E0,1.513980627E-1,2.394400840E0
8.360558880E-1,-6.238808632E-1,1.890902519E0,5.242026448E-1,2.059011433E0
8.410538570E-1,-5.916619301E-1,1.510136604E0,9.725833535E-1,1.891162284E0
8.460518260E-1,-4.815104008E-1,1.215122223E0,1.437665820E0,1.943002134E0
8.510497420E-1,-2.717194557E-1,8.977689743E-1,1.799351931E0,2.029159423E0
8.561238570E-1,-1.685123444E-1,4.961280823E-1,2.159673452E0,2.222325112E0
8.611217740E-1,-7.933044434E-2,1.391487122E-1,2.511249542E0,2.516352508E0
8.661197420E-1,1.165919304E-1,-1.420211792E-2,2.928418636E0,2.930773121E0
8.711177110E-1,4.108076096E-1,7.283592224E-2,3.443181515E0,3.468366605E0
8.761156800E-1,8.549206257E-1,2.632627487E-1,3.945071459E0,4.045217592E0
8.811136490E-1,1.276898861E0,5.543918610E-1,4.507154942E0,4.717230830E0
8.860800030E-1,1.568255186E0,1.012750626E0,4.862855911E0,5.208882392E0
