Time (s),x,y,z,total_acceleration
8.2,-1.06,-0.107,0.147,1.07
6.14,0.0551,-0.011,-0.805,0.807
5.49,-0.256,-1.4,-1.43,2.02
7.06,-0.476,-3.32,-4.37,5.51
4.68,-0.988,-0.644,0.951,1.51
6.82,-0.42,-0.125,-0.427,0.612
5.8,-1.27,0.923,-0.589,1.68
4.15,-4.08,4.92,5.49,8.43
9.1,-0.659,-0.163,0.303,0.743
2.36,-4.09,0.915,-0.381,4.21
0.686,0.842,-1.1,1.82,2.29
8.97,-0.536,-0.436,-0.693,0.979
6.6,-2.3,-0.743,-1.69,2.95
7.59,-1.83,0.345,0.633,1.97
2.8,-2.24,2.26,-1.03,3.34
1.42,0.00821,-2.25,-1.59,2.75
4.81,-1.79,-1.15,0.393,2.16
1.22,-0.284,1.68,-1.65,2.37
8.31,-0.249,0.493,0.0661,0.556
5.57,-1.88,1.69,-0.492,2.57
7.11,-2.13,-3.23,-1.42,4.12
0.87,-1.37,-0.588,0.671,1.64
2.16,-2.23,-0.482,-0.0319,2.28
5.03,-6.66,-0.7,-4.08,7.84
4.39,0.0255,2.71,0.851,2.84
0.888,-1.07,-0.919,1.23,1.87
5.93,-0.433,-0.761,1.27,1.54
1.24,-1.35,1.22,-0.364,1.86
2.71,0.122,-3.7,0.804,3.78
5.51,-0.863,-1.11,-0.851,1.65
7.98,-1.7,1.03,1.12,2.28
5.29,-2.36,2.87,0.512,3.75
0.52,-3.45,-0.631,-0.177,3.51
4.94,-1.7,-1.59,1.47,2.75
5.53,-1.25,-0.365,-0.471,1.38
7.17,-5.08,4.57,5.08,8.52
3.13,-2.0,1.61,-1.15,2.81
4.98,-7.93,-0.994,1.41,8.12
0.814,-1.06,-0.924,-0.693,1.57
6.23,0.111,-0.0648,-0.482,0.498
2.4,-2.06,0.955,-1.17,2.56
2.56,-2.11,2.21,1.16,3.27
6.41,-0.236,1.87,-1.68,2.53
7.09,-1.79,-2.28,-3.81,4.79
0.483,-1.15,-1.6,1.06,2.24
5.33,-2.69,-0.333,-0.94,2.87
9.01,-1.62,-1.45,-0.949,2.37
1.15,-1.8,-0.442,-0.0897,1.85
9.28,-0.655,0.465,-0.0749,0.807
1.4,-0.475,-1.92,-3.36,3.9
7.74,-1.07,0.385,-0.395,1.21
3.93,-1.72,-0.0948,-0.327,1.75
0.28,0.571,-0.172,0.263,0.652
4.22,-0.938,-0.71,-3.37,3.57
3.69,-0.812,0.681,0.742,1.29
1.18,-0.778,-2.05,0.148,2.19
2.55,0.0398,-0.765,0.526,0.929
7.81,0.55,0.67,-0.289,0.914
2.43,0.0298,1.66,0.206,1.68
2.23,1.76,0.287,0.134,1.79
3.47,-0.511,3.52,1.12,3.73
2.05,-8.13,-4.05,2.2,9.34
6.38,-2.24,4.41,1.83,5.27
5.58,-1.46,1.7,-0.325,2.27
1.96,3.51,-1.17,-0.866,3.8
9.12,-1.44,-0.397,0.501,1.58
2.03,-5.51,-2.36,3.16,6.78
1.99,3.45,2.96,0.0581,4.55
8.44,-0.707,0.361,0.162,0.81
4.53,-3.61,0.974,-1.53,4.03
1.51,-5.2,2.95,4.95,7.76
6.04,-0.799,-0.201,-0.595,1.02
2.32,-4.77,-4.93,1.69,7.06
8.33,-0.286,0.514,-0.273,0.649
4.85,0.37,-0.467,-0.961,1.13
7.44,-2.23,0.308,0.359,2.28
8.36,-0.181,0.392,-0.204,0.477
4.26,-4.25,2.44,0.729,4.95
4.64,-2.34,0.899,2.5,3.54
1.09,-1.59,0.0119,2.34,2.83
2.25,1.49,-1.67,0.211,2.25
1.11,-1.43,-0.102,1.18,1.86
1.55,-6.75,2.85,8.05,10.9
8.18,-1.32,-0.0822,0.0989,1.32
3.39,-2.28,-0.237,-0.863,2.45
4.06,-2.51,0.0284,2.2,3.34
0.759,-0.702,-1.22,-1.01,1.73
3.34,-2.54,-1.43,-1.41,3.24
5.27,-2.18,4.26,0.975,4.88
8.09,0.119,0.316,-0.899,0.96
8.16,-0.945,-0.455,-0.292,1.09
7.5,0.0887,1.01,0.501,1.13
8.49,-0.892,0.017,-0.156,0.906
3.08,-0.902,-0.442,1.92,2.17
7.57,-1.52,-0.605,-1.02,1.93
0.317,1.21,-0.62,0.668,1.51
