Time (s),x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.071267141,-0.6577482224,-0.5797343254,0.5404615402,1.029962761,0
0.076268652,-0.7834634781,-0.6299285889,0.4526634216,1.102510418,0
0.08127011,-0.8312690258,-0.6116042137,0.4128055573,1.111519831,0
0.086271568,-0.7005883455,-0.5155482292,0.3685321808,0.9446851194,0
0.091251672,-0.5006418228,-0.3592662811,0.3323106766,0.700103479,0
0.096253131,-0.1819154024,-0.2246351242,0.2897615433,0.4092870687,0
0.101254589,0.3012399673,0.311029911,0.3239297867,0.5407546858,0
0.106256047,0.6763294339,0.5703873634,0.4171533585,0.9781514055,0
0.111257506,1.232521296,0.5965201855,0.1550741196,1.378039571,0
0.116258964,2.405150414,0.1539285183,-0.9635109901,2.595533843,0
0.121250631,2.337077618,0.2654590607,-0.7041454315,2.455243591,0
0.126252089,1.690987945,0.3795878887,0.306883812,1.760029792,0
0.131253547,1.607696414,0.2885928154,0.6182193756,1.746473237,0
0.136255006,2.671018362,0.3644318581,-0.5419769287,2.749707014,0
0.141256464,2.834418774,-0.06960296631,-1.28920126,3.114613017,0
0.146257922,1.881018877,-0.502686739,-0.9349608421,2.159879105,0
0.151251985,0.8860155344,-0.7584955692,-0.5681991577,1.29737787,0
0.156253443,0.2578749657,-0.7211976051,-0.3722915649,0.8516023091,0
0.161254902,-0.1936457157,-0.5276179314,0.08233261108,0.5680299319,0
0.16625636,-0.3978409767,-0.1324782372,0.5757875443,0.7122915289,0
0.171257818,-0.6048030257,0.02282261848,0.8186311722,1.018069039,0
0.176259277,-0.7119358182,-0.08698797226,0.4088554382,0.8255799694,0
0.181253495,-0.5608379841,-0.04579114914,-0.3521995544,0.6638377813,0
0.186254954,-0.4503971338,-0.1038179398,-0.7098426819,0.8470610225,0
0.191256412,-0.5132524967,-0.4329667091,-0.9904398918,1.196603308,0
0.19625787,-0.6077600718,-0.5174183846,-1.171757221,1.417783155,0
0.201259329,-0.4941056967,-0.3130028248,-1.356034756,1.476801092,0
0.206260787,-0.2557228804,-0.245600462,-1.828101635,1.862167921,0
0.21125162,-0.04830431938,-0.5107228756,-2.544804573,2.595997203,0
0.216253079,0.2420113087,-0.6876707077,-3.250883579,3.331621906,0
0.221254537,0.672286272,-0.6862876415,-3.836070061,3.954540816,0
0.226255995,1.169311285,-0.6980886459,-4.344751358,4.553183612,0
0.231257454,1.360225081,-0.6117408276,-4.696435452,4.927569894,0
0.236258912,1.186602354,-0.4974956512,-4.725569725,4.897605159,0
0.241255891,0.8308744431,-0.5239167213,-4.662141323,4.76449397,0
0.246257349,0.2611627579,-0.6991993189,-4.002103806,4.071108024,0
0.251258808,-0.1347033978,-0.9273052216,-3.170924664,3.306478973,0
0.256260266,-0.007320165634,-1.229315162,-2.5713377,2.850095949,0
0.261261724,0.5258491039,-1.433314085,-2.255444527,2.723588912,0
0.266263183,1.013661623,-1.560141563,-1.879349709,2.644523948,0
0.271267089,1.188881874,-1.690976143,-1.542485714,2.579167037,0
0.276268547,0.8267879486,-1.804701567,-0.9765968323,2.212299128,0
0.281270006,-0.6535618305,-1.871501684,-0.6104073524,2.074188698,0
0.286271464,-4.527481079,-1.646963239,-0.8873004913,4.898762598,0
0.291272922,-8.557658195,-0.8389966488,-1.710619926,8.767191666,0
0.296274381,-7.069774628,-0.5813833475,-2.031883717,7.37890719,0
0.301264224,-1.646720409,-1.110873699,-1.546060562,2.517147541,0
0.306265683,2.471469879,-1.688461304,-1.034298897,3.166834247,0
0.311267141,3.409626245,-1.855309725,-0.323094368,3.895139956,0
0.316268599,2.753752708,-1.627131104,0.1858634949,3.20394364,0
0.321270058,1.777264357,-1.144156218,0.4387583733,2.158766072,0
0.326271516,1.526319027,-0.4958690405,0.7707548141,1.780336727,0
0.331265579,2.013850927,0.1048415899,1.167415619,2.330117281,0
0.336267037,2.635304451,0.844119668,1.23078537,3.028564048,0
0.341268495,2.971926689,1.832809687,1.148111343,3.675554278,0
0.346269954,2.863064289,2.679321766,1.025782585,4.053163229,0
0.351271412,2.474409342,3.222255945,0.7357106209,4.128789785,0
0.35627287,1.65403986,3.441880465,0.3965053558,3.839219385,0
0.36126511,0.8149695396,3.342691183,0.1899023056,3.445841346,0
0.366266568,0.3287992477,2.919052839,0.1037268639,2.939343071,0
0.371268027,-0.05792498589,2.041743755,0.1990604401,2.05224217,0
0.376269485,0.1571969986,0.6608760357,0.3878116608,0.7822185853,0
0.381270943,3.137697697,0.2479166985,3.778045654,4.917340591,0
0.386272402,4.565798759,0.804202199,4.374214649,6.373932325,0
0.391262506,2.766422033,0.03198671341,3.565069675,4.512630697,0
