Time (s),x,y,z,total_acceleration,Walking(0)/Jumping(1)
1.716070888,1.231078148,-3.760457516,-1.737101912,4.321355943,0
2.126043336,0.05878853798,-0.4356327057,-0.7001473904,0.8267032809,0
2.191043336,0.8465230465,-5.55371666,0.8909438252,5.68807093,0
0.256155315,0.3907179832,-3.652800083,-3.100765228,4.807322955,0
1.086103649,0.8189764023,-3.474654675,0.9562343359,3.695718003,0
0.326146826,-0.8608727455,-0.9968905449,-10.61257267,10.69399791,0
1.391085107,-1.228983402,8.545751572,3.315547466,9.248412033,0
0.72112594,-0.6179151535,1.064045906,-2.320770741,2.626783139,0
0.761132555,-1.291401625,3.935088158,-3.372276068,5.340869109,0
0.546101149,-1.192855835,-2.378404617,2.470431566,3.630805102,0
1.686071878,1.767025352,-6.191834927,0.06403407454,6.439355458,0
0.121157607,-0.5178384781,1.755095482,-1.132298946,2.151887019,0
0.51113443,0.4989352226,-0.4479427338,5.166462421,5.209791071,0
1.981050315,1.3070786,2.666953087,4.329986572,5.25070252,0
1.596075992,-0.8311972618,-0.3090019226,-0.4770970345,1.006972024,0
1.376086982,-1.689431906,6.689276695,2.40954423,7.307975524,0
1.631075888,0.1829152107,-3.886036873,-0.1523777843,3.89332243,0
2.42104344,-0.9412486553,3.108470917,-3.192193508,4.553969682,0
0.296149013,-2.094398022,-0.9288034439,1.848034263,2.943536911,0
1.581077867,-0.7844741344,0.6608934402,-0.369879961,1.090408636,0
0.246150784,0.3010001183,-4.41889143,-2.90579915,5.297251291,0
0.496140576,3.192130566,-1.169085503,3.371845245,4.788089266,0
2.08604693,0.2622272968,-0.2781553268,-0.6680012345,0.7696487448,0
2.501022086,1.626266837,5.477626801,1.766540527,5.980786288,0
1.096104638,0.9999785423,-4.09160471,0.9622614384,4.320547796,0
0.886080003,1.568255186,1.012750626,4.862855911,5.208882392,0
2.011049013,1.466606975,-1.22551918,3.699124336,4.16369477,0
2.006049638,1.3361094,-0.8336620331,3.726998091,4.046071611,0
0.661125107,-0.55204916,0.6100788116,0.154325664,0.837120566,0
0.351151826,1.207009315,0.2518234253,-0.1188242435,1.238711317,0
2.51102094,2.384054661,3.92102623,-0.2359083891,4.594977268,0
1.876059534,-1.724299908,3.169246674,-2.975221157,4.676459728,0
1.816061565,-0.6720843315,4.002035141,-1.811560869,4.444067439,0
1.851060003,-0.6490740776,1.834058762,-1.723953962,2.599439548,0
2.496022451,1.006463885,5.947240829,2.883133411,6.6854395,0
0.45612219,0.7399044037,-1.479215622,0.06506705284,1.655225394,0
0.346153909,-1.862871647,-1.125118256,-0.7671294212,2.30752452,0
0.791118336,-3.061579466,3.946852684,-2.287163734,5.493817697,0
1.96605219,1.043749809,4.225405693,4.477293015,6.244166852,0
1.481080524,4.138802528,-3.897942543,0.6182411313,5.718904138,0
2.036053336,1.627159715,-2.41042614,3.266214132,4.373323413,0
0.111161669,0.8079419136,0.3525676727,-1.188501835,1.479733324,0
0.981096669,1.148474216,-1.094429016,1.216176271,1.998962886,0
2.211038857,0.9884324074,-5.748187065,0.7991201282,5.887040525,0
0.441128336,1.338477135,-2.008031845,-0.2060747147,2.42201976,0
0.951099794,0.8441514969,-0.5927553177,2.183926582,2.415261049,0
0.366145732,4.519877434,1.131487846,-2.789297581,5.430445447,0
0.896075888,1.90977025,1.787527084,4.968847752,5.615329328,0
0.191150211,-0.4806418419,-2.354763508,0.3536520004,2.429196883,0
2.101045836,0.02925038338,0.521900177,-1.047458053,1.170642453,0
0.266151201,2.260112047,-0.6784696579,-2.17974329,3.212430288,0
1.806049274,-0.5786721706,4.619475365,-1.284850717,4.829622707,0
0.321148909,-1.379216194,-1.626019001,-5.814511299,6.1931185,0
2.206039221,0.9990470409,-5.741320133,0.8836630583,5.894210063,0
0.311142867,-3.119514942,-2.65282774,-1.495411158,4.359486555,0
0.946101878,0.9996805191,-0.4405536652,2.193683624,2.450652263,0
1.486082451,3.898370266,-4.068137169,0.792958796,5.689974904,0
1.051105524,0.1175575256,-0.9219036102,-0.09553039074,0.9342655372,0
2.311039065,-2.252728939,1.563937187,-0.4991825819,2.787448735,0
2.186043701,0.7469129562,-5.396131516,0.8657484055,5.515943673,0
0.236154846,0.5084319115,-5.142295837,-2.930617332,5.940557839,0
0.34114068,-3.86773777,-3.052913189,-1.391711473,5.120208514,0
1.226096565,-2.192688942,0.9810180664,-0.1794689894,2.408835893,0
2.321038336,-2.642138004,2.295042038,-0.5181278586,3.537876152,0
2.391044846,-1.165437937,1.353233337,-1.121590614,2.108898185,0
0.096147242,0.2463371754,-0.3602423668,-1.344109058,1.413182836,0
0.991092607,1.168435097,-0.8512592316,0.5563806891,1.549013339,0
