x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.1802252563,0.1799305201,0.3440419829,0.4280432467,1
0.213655524,0.117650072,0.2848245987,0.3749870324,1
0.2029378518,0.1427814049,0.2288378012,0.3375456125,1
0.2601096242,0.1623151982,0.2027890402,0.3675957494,1
0.3204736108,0.2226251346,0.2116712531,0.4439256753,1
0.4273560351,0.3104754567,0.347401793,0.6322311253,1
0.5178791195,0.3568544018,0.4114843529,0.7515738282,1
0.5435849413,0.3151953292,0.4903094977,0.7970169933,1
0.5955722433,0.3444881254,0.5663978532,0.8911705189,1
0.65814973,0.4022720647,0.5518336084,0.9484219591,1
0.6441102728,0.3187393266,0.3091039923,0.7823158441,1
0.5259655264,0.3079576457,0.08778337151,0.6157788294,1
0.5962686467,0.3951361227,-0.02990733862,0.7159352648,1
0.6291644973,0.1736523646,-0.178193897,0.6765768052,1
0.5602413198,0.04479084134,-0.04957327902,0.5642110119,1
0.6255900943,0.1213238776,0.1151860553,0.6475726034,1
0.6437038913,0.2126608944,0.0482874763,0.6796403726,1
0.6281970754,0.1784131676,-0.1587612605,0.6720624687,1
0.5355833191,0.002545877695,-0.3917850834,0.6635898769,1
0.4616061008,-0.1148399001,-0.5747927007,0.746093187,1
0.3420843351,-0.01128044844,-0.6459208632,0.7310011644,1
0.2567173254,0.1189078081,-0.6608388644,0.7188538494,1
0.1220024469,0.104176333,-0.4848201317,0.5106739326,1
0.1229081807,0.1501594216,-0.3137221232,0.3688845935,1
0.1688605714,0.1878809792,-0.2429705215,0.3504965466,1
0.09898254365,0.1960115325,-0.4071147287,0.4625586094,1
0.06975874911,0.1524702412,-0.6888987753,0.709009859,1
0.1363924447,0.02676387548,-1.080679473,1.089581263,1
0.1226769141,-0.1159362531,-1.23181041,1.243321248,1
0.05545703977,-0.3034827715,-1.162794262,1.203024426,1
0.04057733774,-0.4061160243,-1.004617723,1.084358573,1
0.05832510819,-0.4046390176,-0.7214747831,0.8292529261,1
0.1722086871,-0.1776074213,-0.5060744682,0.5633041766,1
0.04522441695,0.08735681713,-0.7010843727,0.7079518056,1
0.108767859,0.2537013316,-1.186588921,1.21827258,1
0.2973996207,0.1458038306,-1.516696404,1.552441069,1
0.401920647,0.07508818924,-1.779864963,1.826224994,1
0.4683546647,-0.007820066214,-1.809457721,1.869105265,1
0.4869704452,-0.1194100839,-1.656990988,1.731189798,1
0.5703780529,-0.2586808205,-1.282271004,1.427047938,1
0.7869951734,-0.2867749375,-0.810021801,1.165219544,1
0.9901636979,-0.2103910053,-0.398026109,1.087710121,1
1.134862405,-0.134450292,-0.01903736472,1.142957558,1
1.293532741,-0.06923278749,0.266266121,1.322466551,1
1.382221262,-0.001010398865,0.2798863328,1.410274085,1
1.458798152,-0.03113116086,0.05990940213,1.460359659,1
1.503905328,-0.1749101007,-0.2414631093,1.533176184,1
1.536766972,-0.4601033664,-0.6845686197,1.744127871,1
1.695745749,-0.7161225343,-0.7537683704,1.989108314,1
1.803042741,-0.7090362936,-0.939606771,2.153266466,1
1.799014302,-0.5022512662,-1.222336459,2.232222034,1
1.836505187,-0.2541702783,-1.525961902,2.401231675,1
1.978279116,0.01644529402,-1.823667186,2.690654328,1
2.004159477,0.1010340393,-2.01185222,2.841551063,1
2.118237778,0.3740265048,-2.432650018,3.247247022,1
2.36371003,0.6567083913,-2.637912869,3.602356913,1
3.3718469,0.8253578782,-2.690988046,4.392264086,1
3.818907467,0.3986128771,-2.721747324,4.706469479,1
2.007755954,-1.342411371,-1.402609333,2.792931291,1
1.102120628,-2.130147679,-0.2597122693,2.412394967,1
1.728120028,-1.251451499,-0.1076525027,2.136379823,1
2.321353677,-0.09103939354,-0.475655352,2.371332764,1
2.199125528,0.4766322756,-0.4138875586,2.287932325,1
2.061489965,0.9377460408,-0.1443718475,2.269350511,1
1.894111955,1.544336777,0.1084985948,2.446304994,1
1.55924133,2.164657361,0.2888827126,2.683361369,1
1.058655058,2.492216628,0.1454383796,2.711650157,1
0.4647156501,2.062543341,0.003708304167,2.114251504,1
0.03093615621,0.8396145594,0.2402211607,0.8738511659,1
-0.3543832954,-0.5973907274,0.5341898545,0.8762545303,1
-0.8330054516,-1.724654968,0.5805057228,2.001329492,1
-1.352779946,-2.150601239,0.6438269752,2.620994553,1
-1.878922205,-1.926134816,1.021992285,2.878334972,1
-2.118050813,-1.422223526,1.401786484,2.910990269,1
-2.101313304,-0.8659165049,1.823455955,2.913815474,1
-1.844972832,-0.2279466856,2.302052311,2.958940568,1
-1.427832175,0.5330029428,2.575802575,2.992917601,1
-0.9616740167,1.345962385,2.476336759,2.978032136,1
-0.5368985771,2.056019602,2.127549176,3.006982239,1
-0.1321891737,2.358451045,1.645559682,2.878824756,1
0.1399756915,2.216691733,0.9713516703,2.424219359,1
0.1849111784,1.609146146,0.3350928193,1.654034661,1
0.01231365144,0.7237139744,0.05952757895,0.7262624012,1
-0.4079578972,-0.1237469637,-0.1581004521,0.4546852866,1
-1.201870327,-0.7942173618,-0.3881855375,1.491965654,1
-2.187758687,-1.306528763,-0.5418065107,2.60516022,1
-2.956848662,-1.729830338,-0.474376566,3.458366687,1
-3.433908954,-1.851805011,-0.6092659108,3.948685535,1
-3.400052991,-1.750885577,-0.7149191042,3.890638761,1
-3.080319638,-1.559113861,-0.6996941241,3.522609398,1
-2.4142883,-1.242461405,-0.511792168,2.763047151,1
-1.479611901,-0.8698850101,-0.3080652344,1.743804891,1
-0.6606055605,-0.535533033,-0.286654558,0.8974219585,1
-0.1306541334,-0.3427971107,-0.3757813273,0.5251589927,1
0.177650983,-0.2448995179,-0.4811054686,0.5683292335,1
0.2825520784,-0.2909247065,-0.4749103437,0.624509965,1
0.2484995024,-0.4787033594,-0.3567047862,0.646643034,1
0.01323707297,-0.6643080175,-0.199807618,0.693832434,1
-0.3226736256,-0.7884683794,-0.1640301865,0.8675866274,1
-0.7500759999,-0.8864642054,-0.1935750709,1.177244283,1
-1.111045087,-0.8612346393,-0.3449659161,1.447462529,1
-1.426270237,-0.7770967144,-0.5840209957,1.726037838,1
-1.728581519,-0.635832662,-0.7295962733,1.981057285,1
-1.970941007,-0.4693045449,-0.7111213376,2.147218844,1
-2.070840394,-0.3030518317,-0.7316148052,2.21708831,1
-2.121164748,-0.2276987636,-0.8169818149,2.284435576,1
-2.095973773,-0.1457348335,-0.8689172228,2.273623065,1
-2.031009307,-0.01404150367,-0.9782029259,2.254346232,1
-2.10777287,0.1577625561,-1.167194291,2.414526456,1
-2.149625777,0.3924206758,-1.517455958,2.660367936,1
-2.260277463,0.4626802343,-1.856456471,2.961310156,1
-2.411629571,0.332210142,-1.993242141,3.146320867,1
-2.608603701,0.0007642310858,-2.07407522,3.332656878,1
-2.684268718,-0.3267880189,-2.373433365,3.597954266,1
-2.611472345,-0.6459115076,-2.986098189,4.019175523,1
-2.530377019,-0.9178275007,-3.291919262,4.252287338,1
-2.424631293,-1.068083401,-3.370158516,4.286911182,1
-2.376370714,-0.9679539263,-3.265767006,4.153228468,1
-2.453550745,-0.6288294518,-3.126622569,4.023817395,1
-2.399109074,-0.06835044265,-2.947250458,3.800879029,1
-2.028925944,0.575853678,-2.712586491,3.436025817,1
-1.351780511,1.15145768,-2.527011654,3.088519586,1
-0.7243282244,1.710476639,-2.437582583,3.0646681,1
-0.1802220038,2.634209243,-2.146445623,3.402758751,1
-0.09240208715,3.418949438,-1.016185854,3.567966801,1
0.2439180627,4.088604734,0.3092890567,4.107535077,1
0.4309704915,4.288073725,1.620734158,4.60435566,1
0.2378787661,2.952293097,2.676916721,3.992305596,1
